# Charge generation [cm^-3*s^-1]
# Column format:
# x (nm)	360 nm	370 nm	380 nm	390 nm	400 nm	410 nm	420 nm	430 nm	440 nm	450 nm	460 nm	470 nm	480 nm	490 nm	500 nm	510 nm	520 nm	530 nm	540 nm	550 nm	560 nm	570 nm	580 nm	590 nm	600 nm	610 nm	620 nm	630 nm	640 nm	650 nm	660 nm	670 nm	680 nm	690 nm	700 nm	710 nm	720 nm	730 nm	740 nm	750 nm	760 nm	770 nm	780 nm	790 nm	800 nm	810 nm	820 nm	830 nm	
7.400000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
7.400000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
7.410000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
7.420000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
7.430000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
7.440000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
7.450000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
7.460000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
7.470000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
7.480000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
7.490000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
7.500000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
